scenario,policy,replication,demand_regime,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions
normal_patterned,fixed,0,quiet,0.0,5.0,17.77513421673018,238.364,7.976852777777778,19.19999999999997,2.6666666666666665,0.6666666666666666,21.86666666666664,8.0,144.0,50.0,42905.787543433085,55.177195914908786,59.59137158810151,0.0,8.0,107.26380000000003,16.853107500000004,5.466666052555086,129.58357355255512,57.59999999999986,8.0,195.18357355255498,523.0919771208473,0.0,0.0,0.0,0.0,3.0
normal_patterned,fixed,0,normal,1.0,43.0,237.0395543831686,179.515,5.752965277777778,15.066666666666652,1.9999999999999998,0.3333333333333333,17.066666666666652,6.0,112.0,22.0,37097.494444902455,61.33844980969318,68.6990637868564,1.0,3.0,80.78175,10.319445000000002,4.769025702042161,95.87022070204216,45.1999999999999,6.0,147.07022070204206,394.14819148147274,0.0,0.0,0.0,0.0,2.0
normal_patterned,fixed,0,surge,1.0,11.0,55.59615631091435,58.28799999999999,1.877776388888889,5.333333333333337,0.6666666666666666,0.16666666666666666,6.0000000000000036,2.0,40.0,0.0,16695.777018096567,77.29526397266932,92.75431676720315,0.0,2.0,26.229599999999998,3.414420000000001,1.8356873583573614,31.47970735835736,16.000000000000007,2.0,49.479707358357366,132.60561572039774,0.0,0.0,0.0,0.0,1.0
normal_patterned,smart,0,quiet,0.0,0.0,0.0,227.369,6.286615277777777,14.399999999999988,2.333333333333333,0.16666666666666666,16.73333333333332,7.0,108.0,31.0,33491.44963945599,57.42703984817558,53.161031173739666,0.0,51.0,102.31605000000002,2.7720225,4.198161695532015,109.28623419553205,43.19999999999991,7.0,159.48623419553195,427.42310764402566,0.0,6.0,0.0,3.0,31.0
normal_patterned,smart,0,normal,0.0,0.0,0.0,386.9260000000001,10.670943055555558,21.333333333333297,4.333333333333333,0.16666666666666666,25.66666666666663,13.0,160.0,25.0,56829.10737073167,65.7744298272358,48.571886641651005,0.0,69.0,174.1167000000001,6.0361425,6.677323441669477,186.83016594166958,63.99999999999984,13.0,263.8301659416694,707.064844723674,0.0,12.0,0.0,2.0,46.0
normal_patterned,smart,0,surge,0.0,0.0,0.0,51.70100000000001,1.2241111111111111,2.533333333333333,0.6666666666666666,0.16666666666666666,3.1999999999999997,2.0,19.0,1.0,6571.144862955725,64.04624622763866,36.506360349754026,0.0,7.0,23.26545,0.0,0.679517087847163,23.944967087847164,7.600000000000002,2.0,33.54496708784717,89.90051179543042,0.0,1.0,0.0,2.0,4.0
high_demand_seasonal,fixed,0,quiet,5.0,116.0,616.1716366303018,259.01200000000006,8.426277777777774,19.999999999999968,3.0,0.8333333333333333,22.999999999999968,9.0,149.0,1.0,63569.40927644902,79.00746865081905,78.48075219314694,1.0,8.0,116.55540000000003,16.406167500000002,7.606791873498279,140.5683593734983,59.99999999999985,9.0,209.56835937349817,561.6432031209752,0.0,0.0,0.0,0.0,3.0
high_demand_seasonal,fixed,0,normal,51.0,543.0,3589.9959514900993,194.78599999999994,6.128590277777777,14.399999999999988,2.333333333333333,0.5,16.73333333333332,7.0,108.0,0.0,50898.4654988269,87.27446073187055,80.79121507750303,0.0,3.0,87.65370000000001,11.312415000000005,6.416828447371939,105.38294344737196,43.19999999999991,7.0,155.58294344737186,416.9622884389566,0.0,0.0,0.0,0.0,2.0
high_demand_seasonal,fixed,0,surge,36.0,426.0,4244.694196850705,63.553999999999995,1.9532388888888892,5.066666666666669,0.6666666666666666,0.16666666666666666,5.733333333333336,2.0,38.0,0.0,19953.782772002083,97.24065678363588,110.8543487333449,1.0,2.0,28.5993,3.350925000000001,2.2999479026679865,34.250172902667984,15.200000000000008,2.0,51.450172902667994,137.88646337915023,0.0,0.0,1.0,0.0,1.0
high_demand_seasonal,smart,0,quiet,1.0,3.0,25.235380131578836,308.13900000000007,8.440981944444443,15.46666666666665,3.3333333333333335,0.16666666666666666,18.799999999999983,10.0,116.0,8.0,41584.88134670606,66.38710304391132,46.20542371856229,0.0,56.0,138.66255000000004,9.9122175,5.901429584795766,154.4761970847958,46.3999999999999,10.0,210.8761970847957,565.1482081872525,0.0,9.0,0.0,3.0,32.0
